,微博正文,发布时间,ip
75,"['美国会', '女议员', '以色列', '恐怖主义', '国家', '俄亥俄州', '克利夫兰', '震惊', '目睹', '扰乱', '国会', '女议员', '特尔', '布朗', '国会议员', '马克斯', '米勒', '小组讨论', '骚乱', '期间', '煽动者', '高喊', '以色列', '恐怖主义', '国家', '煽动性', '言论', '附和', '哈马斯', '消灭', '以色列', '巴勒斯坦', '自由', '呼吁', '左边', '男子', '克利夫兰', '员工', '以色列', '巴勒斯坦', '冲突', '巴以冲突', '身为', '里中横', '微博', '视频']",2023/11/23 23:45,陕西
78,"['停火', '巴以', '当地', '情况', '以色列政府', '批准', '巴勒斯坦伊斯兰抵抗运动', '哈马斯', '交换', '扣押', '人员', '协议', '协议', '哈马斯', '释放', '至少', '妇女', '儿童', '换取', '以军', '加沙', '地带', '停火', '哈马斯', '同一天', '发表声明', '证实', '消息', '以色列', '哈马斯', '冲突', '爆发', '停火', '达成', '共识', '停火', '时间', '尚未', '新华社', '记者', '前方', '发回', '报道', '新华', '国际', '微博', '视频']",2023/11/23 0:00,
81,"['关注', '哈以', '停火', '背后', '巴勒斯坦伊斯兰抵抗运动', '哈马斯', '当地', '时间', '发表声明', '卡塔尔', '埃及', '斡旋', '以色列', '达成', '人道主义', '临时', '停火协议', '哈马斯', '释放', '扣押', '以色列', '妇女', '儿童', '以色列', '释放', '拘捕', '入狱', '巴勒斯坦', '妇女', '儿童', '巴以冲突', '持续', '死亡', '临时', '停火', '意味着', '接下来', '冲突', '走向', '网页', '链接']",2023/11/22 23:58,
96,"['以色列', '公布', '加沙', '新生儿', '希法', '医院', '儿科', '病房', '撤离', '埃及', '接受', '医疗', '记录', '协调', '埃及', '希法', '医院院长', '撤离', '工作', '联合国', '小组', '以色列国防军', '实地', '小组', '协助', '以色列', '向希法', '医院', '提供', '保温箱', '用于', '抢救', '婴儿', '巴以冲突', '清新', '微博', '视频']",2023/11/21 23:51,广东
97,"['以色列国防军', '忽视', '女兵', '哈马斯', '发动', '袭击', '警告', '以色列', '国土报', '援引', '以色列国防军', '女兵', '报道', '负责', '监视', '加沙', '地带', '边界', '以色列国防军', '女兵', '部队', '袭击', '哈马斯', '可疑', '活动', '军队', '指挥部', '发出', '警告', '警告', '被忽视', '以色列', '巴以冲突', '袭击', '哈马斯', '以色列国防军', '忽视', '女兵', '哈马斯', '发动', '袭击', '警告']",2023/11/21 0:00,
105,"['胡歌', '书单', '在读', '讲述', '中东', '故事', '柠檬树', '作者', '桑迪托兰', '译者', '杨杨', '北京', '三联', '出版社', '确切', '讲述', '巴以冲突', '敌对', '阿拉伯人', '以色列', '普通人', '交往', '故事', '想象', '冲突', '激烈', '时段', '杂居', '共处', '来往', '可惜', '和平', '总会', '暴力', '击碎', '和平', '格外', '珍贵', '记得', '看过', '资料', '耶路撒冷', '世纪', '犹太人', '阿拉伯人', '基督徒', '生活', '城市']",2023/11/19 23:55,北京
120,"['冲突', '世卫', '希望', '定期', '卡萨', '地带', '病人', '送往', '埃及', '接受', '治疗', '法新社', '引述', '世卫', '发言人', '佩尔', '科恩', '设立', '机制', '病情', '病人', '离开', '卡萨', '埃及', '治病', '卡萨', '医院', '当中', '运作', '医院', '难以', '提供', '医疗', '服务', '网页', '链接', '视界', '新闻网']",2023/11/17 23:49,
122,"['凤凰', '新闻', '缅甸', '代总统', '警告', '国家', '分裂', '危机', '幕后', '黑手', '美国', '演除', '巴以冲突', '冲突', '毗邻', '西南', '边陲', '缅甸', '激烈', '内战', '发生', '自本', '爆发', '缅甸', '内战', '持续', '缅甸', '代总统', '警告', '国家', '分裂', '危机', '幕后', '黑手', '美国', '军演', '来自', '凤凰', '新闻', '客户端']",2023/11/17 23:38,云南
125,"['加沙', '长时间', '暂时', '停火', '决议', '美国', '弃权票', '安理会', '巴以冲突', '停火', '决议', '当地', '时间', '联合国安理会', '马耳他', '提出', '决议', '决议', '呼吁', '加沙', '地带', '紧急', '实施', '足够', '天数', '长时间', '人道主义', '暂时', '停火', '人道主义', '走廊', '足够', '天数', '长时间', '开放', '英国', '俄罗斯', '美国', '弃权', '央视', '新闻', '微博', '视频']",2023/11/16 23:58,陕西
129,"['泰国政府', '收到', '哈马斯', '保证', '泰国', '国民', '泰国', '巴以冲突', '影响', '国名', '泰国', '公民', '遇害', '泰国', '公民', '掠为', '人质', '泰国', '谈判', '小组', '成员', '哈马斯', '曼谷', '保证', '扣押', '泰国', '国民', '停火', '才能', '释放', '印度', '中东', '外劳', '冲突', '泰国', '外劳', '以色列', '工作', '哈马斯', '素质', '东方人', '西方人', '分不清楚', '无差别', '恐怖主义']",2023/11/16 23:50,北京
142,"['巴以冲突', '无辜', '加沙', '地区', '妇女', '儿童', '生命', '力量', '阻止', '悲剧', '发生', '世人', '遗憾', '巴以冲突', '再次', '印证', '落后', '挨打', '弱国', '外交', '巴勒斯坦', '人民', '生命', '美国', '以色列', '宠物', '全球', '美国', '国家', '欺负', '国家']",2023/12/1 23:28,广东
148,"['王毅', '巴以', '高级别', '会议', '媒体', '发表谈话', '王毅', '中方', '巴勒斯坦', '始终', '和平', '公道', '良知', '习近平', '主席', '巴以', '局势', '阐明', '中国', '原则立场', '中方', '据此', '提交', '中国', '解决', '巴以冲突', '立场', '文件', '提出', '推动', '停火', '止战', '切实', '保护', '平民', '确保', '救援', '加大', '外交', '斡旋', '落实', '方案', '建议']",2023/11/30 23:43,广东
181,"['世界', '周刊', '视线', '艰难', '停火', '持续', '巴以冲突', '终于', '达成', '临时', '停火协议', '暂时', '一口气', '艰难', '停火', '背后', '变数', '以色列', '总理', '内塔尼亚胡', '暂停', '停止', '战争', '外界', '仍对', '这份', '临时', '停火协议', '极大', '期待', '来源', '央视网', '宇宙', '黑洞', '火凤凰', '微博', '视频']",2023/11/26 23:42,
184,"['哈马斯', '释放', '扣留', '俄罗斯', '公民', '哈马斯', '发表', '声明', '运动', '释放', '俄罗斯', '公民', '以此', '认可', '俄罗斯', '俄总统', '所持', '立场', '哈马斯', '电报', '频道', '发文', '称为', '回应', '俄罗斯', '总统', '普京', '做出', '努力', '承认', '俄罗斯', '支持', '巴勒斯坦', '事务', '立场', '哈马斯', '释放', '拥有', '俄罗斯', '国籍', '人员', '巴以', '局势', '巴以冲突', '哈马斯', '释放', '扣留', '俄罗斯', '公民']",2023/11/26 23:36,
193,"['习惯', '加沙', '地带', '发生', '难以想象', '大屠杀', '景象', '某种意义', '掩盖', '以色列', '遭受', '破坏', '真实', '规模', '特拉', '希亚', '剩下', '位于', '加沙', '北部', '拥有', '人口', '城市', '大象', '军事', '巴以冲突', '以色列', '战争', '罪行', '录象', '精选', '微博', '视频']",2023/11/25 23:21,
199,"['美国', '纵容', '以色列', '也许', '试探', '国际', '机构', '下限', '并非', '控制', '以色列', '所作所为', '巴以冲突', '看不到', '国际', '机构', '起到', '作用', '反而', '以色列', '正义', '羊皮', '质问', '连连', '道歉', '美国', '或许', '国际', '机构', '下限', '或许', '正义', '战争', '面前', '民众', '容忍度', '毕竟', '国际', '不合', '谴责', '增加', '战场', '内部', '骚乱', '自身难保']",2023/11/24 23:39,
208,"['局势', '新进展', '巴以冲突', '俄军', '第营', '扎波罗热', '方向', '攻击', '俘获', '乌军', '士兵', '镜头', '突击', '大队', '敌军', '阵地', '无人机', '操作员', '给予', '支援', '负责', '调整', '迫击炮', '火力', '乌克兰', '武装部队', '邻近', '阵地', '投掷', '炸弹', '阻止', '乌军', '反击', '地球', '镜头', '微博', '视频']",2023/11/23 23:39,
213,"['巴以冲突', '当地', '记者', '以色列', '占领军', '侵略', '加沙城', '巴塞罗那', '社区', '遭受', '严重破坏', '房子', '家人', '孩子', '下辈子', '相见', '幸存者', '干嘛', '呵呵', '世纪', '可笑', '下三滥', '自由人', '权不离口而', '尽可能', '不让', '真相', '黄媒', '真相', '小凡', '好摄', '微博', '视频']",2023/11/22 23:50,
228,"['习近平', '呼吁', '加沙', '冲突', '停火', '止战', '释放', '扣押', '平民', '习近平', '加沙', '地区', '冲突', '持续', '平民', '伤亡', '人道主义', '灾难', '外溢', '趋势', '中方', '深表', '关切', '习近平', '中国', '停火', '巴以冲突', '习近平', '呼吁', '加沙', '冲突', '停火', '止战', '释放', '扣押', '平民']",2023/11/21 23:45,
240,"['巴以冲突', '哈马斯', '发布', '加沙', '以军', '激战', '画面', '梅卡瓦', '装甲', '懵逼', '停在', '大街', '火箭弹', '哈马斯', '射手', '仅仅', '坦克', '开火', '撤离', '快大', '地面战', '以军', '步兵', '证明', '已方', '装甲部队', '周边', '控制', '能力', '水平', '军队', '叙利亚', '伊朗', '黎巴嫩', '巷战', '资格', '地球', '镜头', '微博', '视频']",2023/11/19 23:45,
241,"['以色列', '记者', '以色列国防军', '杀死', '报道', '加沙', '战争', '记者', '加沙', '战事', '包括', '媒体', '工作者', '巴勒斯坦人', '伤亡', '杂志', '执行', '董事', '以色列', '记者', '政治', '活动家', '哈盖马', '塔尔', '同事', '出色', '工作', '付出', '生命', '代价', '巴以冲突', '以色列', '记者', '以色列国防军', '杀害', '报道', '加沙', '战争', '记者']",2023/11/19 23:44,
